customer_id,age,location,previous_claims,policy_type,gender,income_bracket,policy_duration_months,coverage_amount,premium_paid,vehicle_age,late_payments,Filed_Claim
1,56,Nairobi,1,Auto,Female,Medium,51,99650.13156867484,12872.834585370296,1.3572380852341825,4,0
2,69,Kisumu,0,Auto,Male,Medium,105,4207316.809047687,30677.97812392412,9.534038270905308,3,0
3,46,Kisumu,1,Auto,Female,Low,111,4976460.582271221,34224.94808882534,1.8317111211538317,4,0
4,32,Mombasa,0,Home,Male,Medium,42,4338746.939486356,6550.619021258064,9.20518419084371,5,0
5,60,Mombasa,1,Auto,Male,Medium,64,2017639.9472873781,42145.17690668679,16.256279058559958,3,0
6,25,Kisumu,0,Auto,Female,Medium,24,1791518.8673701019,25666.890733304986,3.0604621957457834,5,0
7,78,Eldoret,0,Auto,Male,Medium,35,4801346.66869378,10793.03521703454,2.4111048354956965,3,0
8,38,Nairobi,1,Auto,Female,Low,104,4942545.001206774,28707.506358958966,4.908641609817619,2,0
9,56,Nairobi,0,Health,Male,Medium,67,3080559.416869908,43937.93209892457,1.665040614542157,0,0
10,75,Eldoret,0,Home,Female,Medium,57,2596614.2769415067,3700.1086320950035,7.290798338098989,1,0
11,36,Nairobi,0,Auto,Female,Medium,13,2605894.1721060234,11828.254827525036,12.176954264589357,4,0
12,40,Nakuru,0,Auto,Male,Low,65,1048942.9638743699,28598.446908681348,9.442072595211917,0,0
13,28,Kisumu,1,Home,Male,Medium,91,3654589.2096152315,1090.6669587987767,14.406472694490835,4,0
14,28,Mombasa,0,Auto,Male,High,87,896785.3656557833,9808.990517780576,2.404982912801794,1,0
15,41,Kisumu,0,Auto,Female,Low,39,1087613.8885615692,12599.353184349511,6.806232125568732,3,0
16,70,Kisumu,1,Auto,Male,High,101,3387107.463304312,44319.99428203559,8.338952156640094,0,0
17,53,Nairobi,0,Auto,Male,Medium,107,4352934.169724469,26686.2020637854,9.193864395183237,1,0
18,57,Mombasa,0,Auto,Female,Medium,72,3346326.9305128525,31976.998936444586,1.3738456519220565,4,0
19,41,Kisumu,3,Auto,Male,Low,117,2400892.309679404,1150.4976075385077,1.2844197111341038,1,0
20,20,Nakuru,2,Health,Female,Medium,79,3491436.405518919,19949.93080769212,1.6892112112859703,4,0
21,39,Nairobi,0,Health,Female,Medium,16,2302169.194853656,22911.67467956252,2.8074245962690214,5,0
22,70,Nairobi,2,Home,Female,Low,28,3288328.420842097,42105.530876365934,0.008720286143990563,4,0
23,19,Nairobi,1,Home,Female,High,31,3912777.85517134,10538.536549972867,6.038102394810025,0,0
24,41,Mombasa,1,Home,Female,Low,51,122708.22741304715,4198.147607673919,8.227336482217488,1,0
25,61,Eldoret,0,Auto,Female,Medium,104,1133984.3263613177,41417.34410546828,10.974105110791033,0,0
26,47,Nairobi,0,Home,Female,Medium,100,3530336.378477392,11390.588994884436,0.5470879244183147,1,0
27,55,Mombasa,0,Auto,Female,High,93,2036896.0876551666,34850.69003248543,8.900181777797853,5,0
28,19,Nairobi,2,Home,Female,Medium,33,2634622.467031876,5485.380234787937,18.760723735840084,4,1
29,77,Mombasa,1,Auto,Male,Low,64,3440772.5910252593,33953.09783323733,15.0252562573206,5,1
30,38,Eldoret,0,Auto,Female,Medium,83,2656275.714176758,21739.442066905383,6.422500352228178,3,1
31,50,Nairobi,0,Home,Female,Medium,51,4192832.2337148264,46473.34932214369,10.524771577996813,2,0
32,29,Kisumu,0,Health,Female,High,58,1926841.4288776757,10820.56140870018,13.972177502493714,3,0
33,75,Nakuru,0,Health,Male,Medium,115,3474294.577925989,4289.4373430860815,3.0898623190892938,0,0
34,39,Eldoret,0,Health,Female,Low,85,2155690.6038793516,27142.708543153432,1.4425769433447955,1,0
35,78,Kisumu,0,Health,Male,High,92,2670070.037587876,45962.83896968222,12.3782392002499,0,0
36,61,Kisumu,2,Auto,Male,Medium,57,613017.0408954727,10972.99577005169,14.740391658304393,5,0
37,42,Nairobi,0,Home,Male,Low,69,4165816.4154282524,41908.027739809135,10.284111583542613,3,0
38,66,Kisumu,0,Home,Female,High,95,1633709.30118005,17628.99663035633,13.908715888294825,2,0
39,44,Eldoret,0,Auto,Female,Medium,38,1540966.7024738016,5851.509449334875,14.380055956561943,2,0
40,76,Mombasa,10,Health,Male,High,13,489395.31830079097,29901.135124257802,12.881736994324438,5,0
41,80,Nairobi,1,Auto,Male,Low,63,2556645.061290681,26575.163781767234,18.73315645580718,3,0
42,59,Nairobi,0,Home,Male,Medium,40,2118636.26174142,42081.18385028312,10.720873830130643,5,0
43,45,Nairobi,1,Health,Male,Medium,17,539741.7027097516,6043.816822385779,1.1389749727023268,3,1
44,77,Nairobi,2,Auto,Male,Low,31,3770283.0440504057,32617.284224472427,11.303359769655184,1,0
45,33,Nairobi,2,Home,Male,Low,112,378736.301848687,31400.617273582462,12.787780462460974,5,0
46,32,Kisumu,2,Home,Male,Low,94,767929.1496492326,49751.628290564295,6.815690629487592,1,0
47,79,Nairobi,0,Home,Female,Medium,86,2330453.802757282,17074.749505409116,9.455533430791645,5,0
48,79,Nairobi,1,Auto,Female,Medium,29,1820892.3523089762,3185.1004322460076,15.409854547164421,1,0
49,64,Kisumu,0,Health,Female,Medium,114,1413799.773960043,21150.040144333776,14.376824910949768,0,0
50,79,Nairobi,0,Home,Male,Low,33,2841439.5670758737,23757.229628202276,3.552171056222706,0,0
51,68,Nairobi,0,Auto,Female,Low,62,2645236.384908583,19078.651545355584,4.758927360421012,3,0
52,61,Nairobi,1,Health,Female,High,25,2190452.344313296,31892.85642516147,11.412936679459245,0,1
53,72,Nairobi,1,Home,Male,Medium,117,3892092.925650713,14026.432262518236,7.807329503049372,3,0
54,69,Kisumu,0,Auto,Female,High,17,2515913.067246157,9973.932948703265,15.009797636327711,4,0
55,74,Nairobi,0,Auto,Male,High,32,4895040.1551514715,23185.656974370748,2.025884330688743,2,0
56,20,Mombasa,2,Auto,Male,High,75,4018968.7282980736,36621.11040476438,6.511920807532389,0,0
57,54,Nakuru,0,Auto,Female,Low,19,576924.3872929881,44681.96123144712,7.352916404801704,5,0
58,68,Mombasa,1,Auto,Female,Medium,29,1406162.3872212027,33521.461151900025,8.6131606212091,0,1
59,24,Kisumu,0,Auto,Female,Low,33,2702591.771678478,19490.5892934723,15.326547869620587,5,0
60,38,Eldoret,0,Auto,Male,High,81,2370997.3770670514,37584.760535860274,0.36978226274363424,3,0
61,26,Mombasa,0,Health,Male,High,110,282559.8641418764,10253.919864233509,2.8920769241206123,4,0
62,56,Nairobi,0,Health,Female,Low,65,2664344.872273763,37847.96143547797,11.023748416025235,4,0
63,35,Nairobi,0,Home,Male,Medium,46,3046514.3318117517,24563.91129420281,9.735309391458554,3,0
64,21,Eldoret,0,Home,Female,High,56,2343660.5808382835,14269.53529471008,19.029503457489405,5,0
65,42,Nairobi,1,Health,Female,Low,64,4337361.673991293,34920.738737717846,1.1169362529877747,5,0
66,77,Nairobi,1,Auto,Male,Low,65,2805119.3159607346,21404.313430031627,5.930288555076821,4,0
67,31,Mombasa,0,Auto,Male,Low,68,3942958.163407002,31383.097219087384,15.557305691496886,4,1
68,67,Eldoret,0,Home,Male,Medium,84,2954776.881602888,33519.691535156446,19.2272790360379,0,0
69,75,Nairobi,0,Health,Male,High,91,4551071.757145383,20267.19282634038,19.884817948681107,4,0
70,26,Kisumu,4,Home,Male,Low,86,1110230.332988063,49312.94430408438,5.833918693018072,0,0
71,43,Nairobi,6,Health,Male,High,59,4166817.6392695075,23394.843745313257,11.913129080589988,0,0
72,70,Mombasa,0,Auto,Female,Low,96,2267554.0757658603,49221.2126569311,19.15516178650663,5,0
